seed_id,mixing_level,cosine_distance
seed_001,30,0.1566716432571411
seed_001,60,0.1949952244758606
seed_001,100,0.19642657041549683
seed_002,30,0.22836041450500488
seed_002,60,0.17403286695480347
seed_002,100,0.19284242391586304
seed_003,30,0.0798683762550354
seed_003,60,0.05391526222229004
seed_003,100,0.10424822568893433
seed_004,30,0.09093868732452393
seed_004,60,0.11613106727600098
seed_004,100,0.16575902700424194
seed_005,30,0.07494837045669556
seed_005,60,0.08593922853469849
seed_005,100,0.12190753221511841
seed_006,30,0.11992108821868896
seed_006,60,0.13981467485427856
seed_006,100,0.16210311651229858
seed_007,30,0.06886136531829834
seed_007,60,0.08679711818695068
seed_007,100,0.1159546971321106
seed_008,30,0.018039464950561523
seed_008,60,0.07811975479125977
seed_008,100,0.06014227867126465
seed_009,30,0.023633480072021484
seed_009,60,0.10664635896682739
seed_009,100,0.07706958055496216
seed_010,30,0.1644158959388733
seed_010,60,0.18438774347305298
seed_010,100,0.19563472270965576
seed_011,30,0.04823005199432373
seed_011,60,0.09570914506912231
seed_011,100,0.0923607349395752
seed_012,30,0.03596764802932739
seed_012,60,0.1293429732322693
seed_012,100,0.08845478296279907
seed_013,30,0.0741112232208252
seed_013,60,0.09988844394683838
seed_013,100,0.09663248062133789
seed_014,30,0.08527672290802002
seed_014,60,0.1433560848236084
seed_014,100,0.15790849924087524
seed_015,30,0.02875959873199463
seed_015,60,0.03302812576293945
seed_015,100,0.07931184768676758
seed_016,30,0.051249027252197266
seed_016,60,0.08032160997390747
seed_016,100,0.0963594913482666
seed_017,30,0.029094040393829346
seed_017,60,0.11376708745956421
seed_017,100,0.08820027112960815
seed_018,30,0.03757894039154053
seed_018,60,0.08235907554626465
seed_018,100,0.07868659496307373
seed_019,30,0.1047142744064331
seed_019,60,0.18472105264663696
seed_019,100,0.16271716356277466
seed_020,30,0.08403164148330688
seed_020,60,0.14740794897079468
seed_020,100,0.13922131061553955
seed_021,30,0.029307305812835693
seed_021,60,0.05826634168624878
seed_021,100,0.07795357704162598
seed_022,30,0.05157124996185303
seed_022,60,0.09510660171508789
seed_022,100,0.09742540121078491
seed_023,30,0.10460859537124634
seed_023,60,0.12475848197937012
seed_023,100,0.15747112035751343
seed_024,30,0.045847296714782715
seed_024,60,0.0789111852645874
seed_024,100,0.07828664779663086
seed_025,30,0.1436983346939087
seed_025,60,0.17241722345352173
seed_025,100,0.18999212980270386
seed_026,30,0.040772855281829834
seed_026,60,0.0845193862915039
seed_026,100,0.07437694072723389
seed_027,30,0.05800068378448486
seed_027,60,0.06094449758529663
seed_027,100,0.09131932258605957
seed_028,30,0.03213620185852051
seed_028,60,0.053821682929992676
seed_028,100,0.07148128747940063
seed_029,30,0.03985852003097534
seed_029,60,0.09468549489974976
seed_029,100,0.11460453271865845
seed_030,30,0.1890321969985962
seed_030,60,0.19404548406600952
seed_030,100,0.1826784610748291
seed_031,30,0.09336185455322266
seed_031,60,0.10490530729293823
seed_031,100,0.11532026529312134
seed_032,30,0.08589237928390503
seed_032,60,0.11828798055648804
seed_032,100,0.11540359258651733
seed_033,30,0.045969247817993164
seed_033,60,0.059306800365448
seed_033,100,0.06172060966491699
seed_034,30,0.03443479537963867
seed_034,60,0.0903591513633728
seed_034,100,0.06035411357879639
seed_035,30,0.06848132610321045
seed_035,60,0.1294209361076355
seed_035,100,0.15511584281921387
seed_036,30,0.12429630756378174
seed_036,60,0.11567676067352295
seed_036,100,0.10787254571914673
seed_037,30,0.14475643634796143
seed_037,60,0.1262359619140625
seed_037,100,0.11533677577972412
seed_038,30,0.07446980476379395
seed_038,60,0.1446312665939331
seed_038,100,0.11329960823059082
seed_039,30,0.051882147789001465
seed_039,60,0.14066779613494873
seed_039,100,0.10523790121078491
seed_040,30,0.049159228801727295
seed_040,60,0.08874350786209106
seed_040,100,0.07567375898361206
seed_041,30,0.08378773927688599
seed_041,60,0.12928253412246704
seed_041,100,0.1343650221824646
seed_042,30,0.07206451892852783
seed_042,60,0.14255785942077637
seed_042,100,0.12046784162521362
seed_043,30,0.07013928890228271
seed_043,60,0.10515487194061279
seed_043,100,0.12448745965957642
seed_044,30,0.0759965181350708
seed_044,60,0.15003377199172974
seed_044,100,0.09514468908309937
seed_045,30,0.22092217206954956
seed_045,60,0.23620587587356567
seed_045,100,0.20296889543533325
seed_046,30,0.0621834397315979
seed_046,60,0.30131542682647705
seed_046,100,0.16555219888687134
seed_047,30,0.23828047513961792
seed_047,60,0.2076823115348816
seed_047,100,0.21053194999694824
seed_048,30,0.22065991163253784
seed_048,60,0.24149513244628906
seed_048,100,0.2529805302619934
seed_049,30,0.12675410509109497
seed_049,60,0.16308200359344482
seed_049,100,0.15293669700622559
seed_050,30,0.20620441436767578
seed_050,60,0.2883385419845581
seed_050,100,0.2694432735443115
seed_051,30,0.1336193084716797
seed_051,60,0.23608064651489258
seed_051,100,0.23336660861968994
seed_052,30,0.1964360475540161
seed_052,60,0.21074509620666504
seed_052,100,0.2189618945121765
seed_053,30,0.1472504734992981
seed_053,60,0.15822750329971313
seed_053,100,0.1292768120765686
seed_054,30,0.26557040214538574
seed_054,60,0.23950880765914917
seed_054,100,0.2404317855834961
seed_055,30,0.17113173007965088
seed_055,60,0.2503793239593506
seed_055,100,0.19212186336517334
seed_056,30,0.11602276563644409
seed_056,60,0.11823314428329468
seed_056,100,0.13183200359344482
seed_057,30,0.2886312007904053
seed_057,60,0.29085081815719604
seed_057,100,0.3031623959541321
seed_058,30,0.17246484756469727
seed_058,60,0.2625970244407654
seed_058,100,0.24709314107894897
seed_059,30,0.17886638641357422
seed_059,60,0.23059427738189697
seed_059,100,0.2130056619644165
seed_060,30,0.0969967246055603
seed_060,60,0.21855288743972778
seed_060,100,0.21811538934707642
seed_061,30,0.12379395961761475
seed_061,60,0.15788894891738892
seed_061,100,0.14809662103652954
seed_062,30,0.2800496220588684
seed_062,60,0.20191437005996704
seed_062,100,0.22758537530899048
seed_063,30,0.07335692644119263
seed_063,60,0.08166289329528809
seed_063,100,0.10622245073318481
seed_064,30,0.0938987135887146
seed_064,60,0.08087152242660522
seed_064,100,0.08640944957733154
seed_065,30,0.10804885625839233
seed_065,60,0.12207841873168945
seed_065,100,0.14420032501220703
seed_066,30,0.08755290508270264
seed_066,60,0.127338707447052
seed_066,100,0.13682889938354492
seed_067,30,0.059180617332458496
seed_067,60,0.10697400569915771
seed_067,100,0.09027677774429321
seed_068,30,0.14282256364822388
seed_068,60,0.12725937366485596
seed_068,100,0.13131320476531982
seed_069,30,0.12901264429092407
seed_069,60,0.1381855607032776
seed_069,100,0.15245139598846436
seed_070,30,0.12562131881713867
seed_070,60,0.1544969081878662
seed_070,100,0.15903007984161377
seed_071,30,0.2188504934310913
seed_071,60,0.18443024158477783
seed_071,100,0.18035495281219482
seed_072,30,0.043052852153778076
seed_072,60,0.11278247833251953
seed_072,100,0.09013175964355469
seed_073,30,0.2156270146369934
seed_073,60,0.2476409673690796
seed_073,100,0.25809890031814575
seed_074,30,0.207722008228302
seed_074,60,0.17571640014648438
seed_074,100,0.1844668984413147
seed_075,30,0.08248412609100342
seed_075,60,0.12423628568649292
seed_075,100,0.11850053071975708
seed_076,30,0.09131854772567749
seed_076,60,0.10881835222244263
seed_076,100,0.0943792462348938
seed_077,30,0.18559420108795166
seed_077,60,0.2640361785888672
seed_077,100,0.21847748756408691
seed_078,30,0.16378742456436157
seed_078,60,0.25284790992736816
seed_078,100,0.23542171716690063
seed_079,30,0.30915510654449463
seed_079,60,0.306876003742218
seed_079,100,0.2924732565879822
seed_080,30,0.1292175054550171
seed_080,60,0.13872575759887695
seed_080,100,0.14928758144378662
seed_081,30,0.19037002325057983
seed_081,60,0.18020600080490112
seed_081,100,0.18255162239074707
seed_082,30,0.06612622737884521
seed_082,60,0.10221505165100098
seed_082,100,0.10271281003952026
seed_083,30,0.13138598203659058
seed_083,60,0.2655159831047058
seed_083,100,0.2311573624610901
seed_084,30,0.16505122184753418
seed_084,60,0.20669043064117432
seed_084,100,0.21446150541305542
seed_085,30,0.14444977045059204
seed_085,60,0.15873998403549194
