seed_id,mixing_level,cosine_distance
seed_001,30,0.22032558917999268
seed_001,60,0.33056581020355225
seed_001,100,0.2876623868942261
seed_002,30,0.20562231540679932
seed_002,60,0.17746299505233765
seed_002,100,0.20725411176681519
seed_003,30,0.09642380475997925
seed_003,60,0.16460192203521729
seed_003,100,0.11442416906356812
seed_004,30,0.21954965591430664
seed_004,60,0.25136977434158325
seed_004,100,0.2442951202392578
seed_005,30,0.14330750703811646
seed_005,60,0.31857430934906006
seed_005,100,0.160031259059906
seed_006,30,0.19997328519821167
seed_006,60,0.2404041886329651
seed_006,100,0.24656277894973755
seed_007,30,0.06881707906723022
seed_007,60,0.06472635269165039
seed_007,100,0.07376927137374878
seed_008,30,0.010975837707519531
seed_008,60,0.074898362159729
seed_008,100,0.01811206340789795
seed_009,30,0.06503534317016602
seed_009,60,0.10937267541885376
seed_009,100,0.07235920429229736
seed_010,30,0.09938967227935791
seed_010,60,0.18335741758346558
seed_010,100,0.1354963779449463
seed_011,30,0.060207247734069824
seed_011,60,0.06571495532989502
seed_011,100,0.06879091262817383
seed_012,30,0.035450875759124756
seed_012,60,0.06836611032485962
seed_012,100,0.08136993646621704
seed_013,30,0.1306246519088745
seed_013,60,0.15100204944610596
seed_013,100,0.16172254085540771
seed_014,30,0.08296167850494385
seed_014,60,0.18635690212249756
seed_014,100,0.18673372268676758
seed_015,30,0.09400773048400879
seed_015,60,0.10506439208984375
seed_015,100,0.09292817115783691
seed_016,30,0.03477221727371216
seed_016,60,0.042787373065948486
seed_016,100,0.027871251106262207
seed_017,30,0.037596702575683594
seed_017,60,0.10380381345748901
seed_017,100,0.10600864887237549
seed_018,30,0.08928567171096802
seed_018,60,0.2618175745010376
seed_018,100,0.10192543268203735
seed_019,30,0.14697563648223877
seed_019,60,0.32411181926727295
seed_019,100,0.256583034992218
seed_020,30,0.14755570888519287
seed_020,60,0.2183743119239807
seed_020,100,0.19635695219039917
seed_021,30,0.05428570508956909
seed_021,60,0.13486742973327637
seed_021,100,0.06475138664245605
seed_022,30,0.09840655326843262
seed_022,60,0.09540927410125732
seed_022,100,0.11406421661376953
seed_023,30,0.28602147102355957
seed_023,60,0.35141342878341675
seed_023,100,0.3452451825141907
seed_024,30,0.034428536891937256
seed_024,60,0.055103838443756104
seed_024,100,0.039114534854888916
seed_025,30,0.09444808959960938
seed_025,60,0.12780636548995972
seed_025,100,0.12323528528213501
seed_026,30,0.053572893142700195
seed_026,60,0.08967262506484985
seed_026,100,0.08083224296569824
seed_027,30,0.05329340696334839
seed_027,60,0.048155367374420166
seed_027,100,0.05650252103805542
seed_028,30,0.03207266330718994
seed_028,60,0.06417703628540039
seed_028,100,0.07564491033554077
seed_029,30,0.09848231077194214
seed_029,60,0.1400483250617981
seed_029,100,0.13381236791610718
seed_030,30,0.14576339721679688
seed_030,60,0.21428823471069336
seed_030,100,0.2078847885131836
seed_031,30,0.19530034065246582
seed_031,60,0.2040817141532898
seed_031,100,0.22621792554855347
seed_032,30,0.0796615481376648
seed_032,60,0.06812536716461182
seed_032,100,0.12340062856674194
seed_033,30,0.13496804237365723
seed_033,60,0.22866064310073853
seed_033,100,0.1503027081489563
seed_034,30,0.0438382625579834
seed_034,60,0.07328474521636963
seed_034,100,0.06502658128738403
seed_035,30,0.15487992763519287
seed_035,60,0.2552867531776428
seed_035,100,0.3047727346420288
seed_036,30,0.24399548768997192
seed_036,60,0.24144846200942993
seed_036,100,0.2481129765510559
seed_037,30,0.15236687660217285
seed_037,60,0.1805364489555359
seed_037,100,0.11689412593841553
seed_038,30,0.07032233476638794
seed_038,60,0.2031429409980774
seed_038,100,0.20095843076705933
seed_039,30,0.10029131174087524
seed_039,60,0.10305815935134888
seed_039,100,0.09489786624908447
seed_040,30,0.05188345909118652
seed_040,60,0.09018146991729736
seed_040,100,0.051767170429229736
seed_041,30,0.15142089128494263
seed_041,60,0.30914729833602905
seed_041,100,0.29432690143585205
seed_042,30,0.09280776977539062
seed_042,60,0.1503676176071167
seed_042,100,0.15617889165878296
seed_043,30,0.14667892456054688
seed_043,60,0.22403234243392944
seed_043,100,0.2173250913619995
seed_044,30,0.062292397022247314
seed_044,60,0.13095808029174805
seed_044,100,0.1298200488090515
seed_045,30,0.27197182178497314
seed_045,60,0.3353872299194336
seed_045,100,0.3267226219177246
seed_046,30,0.13035589456558228
seed_046,60,0.2380821704864502
seed_046,100,0.13970059156417847
seed_047,30,0.26192450523376465
seed_047,60,0.2793126106262207
seed_047,100,0.26555782556533813
seed_048,30,0.3518648147583008
seed_048,60,0.355455219745636
seed_048,100,0.4392973780632019
seed_049,30,0.19584333896636963
seed_049,60,0.3242383599281311
seed_049,100,0.31344354152679443
seed_050,30,0.32040613889694214
seed_050,60,0.3581005334854126
seed_050,100,0.3562663197517395
seed_051,30,0.31339317560195923
seed_051,60,0.28314006328582764
seed_051,100,0.3273535966873169
seed_052,30,0.3905192017555237
seed_052,60,0.5046587288379669
seed_052,100,0.5197926759719849
seed_053,30,0.35070228576660156
seed_053,60,0.31957364082336426
seed_053,100,0.31310945749282837
seed_054,30,0.3341853618621826
seed_054,60,0.4348968267440796
seed_054,100,0.43074166774749756
seed_055,30,0.30751657485961914
seed_055,60,0.3735116124153137
seed_055,100,0.3057582378387451
seed_056,30,0.15938407182693481
seed_056,60,0.16123253107070923
seed_056,100,0.15115857124328613
seed_057,30,0.2655741572380066
seed_057,60,0.28275561332702637
seed_057,100,0.285544216632843
seed_058,30,0.19971823692321777
seed_058,60,0.36634159088134766
seed_058,100,0.37244713306427
seed_059,30,0.2937600016593933
seed_059,60,0.45966672897338867
seed_059,100,0.4453151226043701
seed_060,30,0.07136768102645874
seed_060,60,0.17831993103027344
seed_060,100,0.17221152782440186
seed_061,30,0.16560488939285278
seed_061,60,0.2043585181236267
seed_061,100,0.20043396949768066
seed_062,30,0.2890176773071289
seed_062,60,0.2725738286972046
seed_062,100,0.2829129695892334
seed_063,30,0.15662652254104614
seed_063,60,0.15898603200912476
seed_063,100,0.2514076232910156
seed_064,30,0.07445818185806274
seed_064,60,0.1355816125869751
seed_064,100,0.14819926023483276
seed_065,30,0.10281813144683838
seed_065,60,0.11486804485321045
seed_065,100,0.17432749271392822
seed_066,30,0.06539899110794067
seed_066,60,0.059583961963653564
seed_066,100,0.05618000030517578
seed_067,30,0.043341219425201416
seed_067,60,0.1607704758644104
seed_067,100,0.1412716507911682
seed_068,30,0.09717780351638794
seed_068,60,0.09745550155639648
seed_068,100,0.10747933387756348
seed_069,30,0.22744673490524292
seed_069,60,0.20396870374679565
seed_069,100,0.2107871174812317
seed_070,30,0.24667984247207642
seed_070,60,0.22217786312103271
seed_070,100,0.22381573915481567
seed_071,30,0.2703956365585327
seed_071,60,0.26003968715667725
seed_071,100,0.2649393677711487
seed_072,30,0.06778854131698608
seed_072,60,0.07605540752410889
seed_072,100,0.06912940740585327
seed_073,30,0.17697679996490479
seed_073,60,0.22503185272216797
seed_073,100,0.2442789077758789
seed_074,30,0.3074180483818054
seed_074,60,0.2801065444946289
seed_074,100,0.2835066318511963
seed_075,30,0.12039053440093994
seed_075,60,0.12229204177856445
seed_075,100,0.12446480989456177
seed_076,30,0.07859396934509277
seed_076,60,0.1160314679145813
seed_076,100,0.09467470645904541
seed_077,30,0.25317174196243286
seed_077,60,0.44513940811157227
seed_077,100,0.4577575922012329
seed_078,30,0.11751621961593628
seed_078,60,0.12855947017669678
seed_078,100,0.127147376537323
seed_079,30,0.6405070722103119
seed_079,60,0.6319940686225891
seed_079,100,0.6302284896373749
seed_080,30,0.28573375940322876
seed_080,60,0.2899671792984009
seed_080,100,0.30337172746658325
seed_081,30,0.1999759078025818
seed_081,60,0.24858254194259644
seed_081,100,0.20804286003112793
seed_082,30,0.07428592443466187
seed_082,60,0.13659614324569702
seed_082,100,0.13584816455841064
seed_083,30,0.31333041191101074
seed_083,60,0.25351232290267944
seed_083,100,0.24571490287780762
seed_084,30,0.14029031991958618
seed_084,60,0.10503894090652466
seed_084,100,0.10017156600952148
seed_085,30,0.27425485849380493
seed_085,60,0.2983859181404114
seed_085,100,0.303358793258667
seed_086,30,0.16867446899414062
seed_086,60,0.2909098267555237
seed_086,100,0.27024877071380615
seed_087,30,0.32641535997390747
seed_087,60,0.39895468950271606
seed_087,100,0.33940207958221436
seed_088,30,0.49604082107543945
seed_088,60,0.49006474018096924
seed_088,100,0.488197386264801
seed_089,30,0.13815605640411377
seed_089,60,0.15020406246185303
seed_089,100,0.1352757215499878
seed_090,30,0.15048038959503174
seed_090,60,0.20954596996307373
seed_090,100,0.1748332381248474
seed_091,30,0.05923861265182495
seed_091,60,0.10372680425643921
seed_091,100,0.10832756757736206
seed_092,30,0.18717294931411743
seed_092,60,0.14130932092666626
seed_092,100,0.11762738227844238
seed_093,30,0.22272580862045288
seed_093,60,0.22686278820037842
seed_093,100,0.23038345575332642
seed_094,30,0.12938398122787476
seed_094,60,0.15073758363723755
seed_094,100,0.14637839794158936
seed_095,30,0.25530707836151123
seed_095,60,0.2959146499633789
seed_095,100,0.297573447227478
seed_096,30,0.2152060866355896
seed_096,60,0.2544859051704407
seed_096,100,0.2248750925064087
seed_097,30,0.09184139966964722
seed_097,60,0.15214377641677856
seed_097,100,0.1357155442237854
seed_098,30,0.22343766689300537
seed_098,60,0.25084298849105835
seed_098,100,0.2535185217857361
seed_099,30,0.1966843605041504
seed_099,60,0.23495030403137207
seed_099,100,0.21289503574371338
seed_100,30,0.3647990822792053
seed_100,60,0.37329792976379395
seed_100,100,0.37433022260665894
seed_101,30,0.06801915168762207
seed_101,60,0.0898166298866272
seed_101,100,0.0902056097984314
seed_102,30,0.23305082321166992
seed_102,60,0.2043718695640564
seed_102,100,0.1989637017250061
seed_103,30,0.12621456384658813
seed_103,60,0.19447565078735352
seed_103,100,0.17856544256210327
seed_104,30,0.07345825433731079
seed_104,60,0.09353029727935791
seed_104,100,0.08903223276138306
seed_105,30,0.10009592771530151
seed_105,60,0.10178273916244507
seed_105,100,0.11103051900863647
